source	rust_destination	status
src/scaling/sym_seq_scl.h	src/sym_seq_scl.rs	replaced: generic typed functions replace scalar-specific C++ entry points
test/bivar_function.cxx	tests/upstream_bivar_function.rs	ported: original four-dimensional beta=.5 bivariate identity and strict abs(error)<1e-6; deterministic global-key fixture replaces rank-seeded random initialization
test/bivar_transform.cxx	tests/upstream_bivar_transform.rs; src/dense_transform.rs	ported: original mutable-output identity, n=5 and strict abs(error)<1e-6; deterministic global-key fixtures; extra typed/diagonal Rust coverage
test/ccsdt_map_test.cxx	tests/upstream_ccsdt_map.rs	ported source n=4 zero-input six-order contraction mapping smoke via native BLAS grid planning; PASS WSL 1/2/4 world/parity; native compile/link only; source has no nonzero numerical assertion and niter is unused
test/ccsdt_t3_to_t2.cxx	tests/upstream_ccsdt_t3_to_t2.rs	ported active AS versus partially AS reference equation chain at bounded n=3,m=4 with deterministic fixtures; preserves NS_B/NS_C partial AS groups, dot/norm <1e-6 and residual <=1e-6; PASS WSL 1/2/4 world/parity; original random fixture/CLI driver pending
test/dft.cxx	tests/upstream_dft.rs	ported SY complex DFT/inverse and active custom scalar reduction at bounded n=8; source factor 0.5 and real-error <1e-9; PASS WSL 1/2/4 world/parity, native compile/link; int/int64 C++ ABI overloads excluded
test/diag_ctr.cxx	tests/upstream_dense.rs; tests/upstream_diag_ctr.rs	identity ported through dense and compressed tensor APIs; original 1e-10 checks, WSL 1/2/4 pass
test/diag_sym.cxx	tests/upstream_diag_sym.rs	ported paired-SY diagonal identity, original norm<1e-10, deterministic fixture; WSL 1/2/4 ranks pass
test/endomorphism_cust_sp.cxx	tests/upstream_endomorphism_cust_sp.rs	ported: stored custom-name length transform and exact criterion; source-faithful per-rank key writes give min(np,N^4) global nonzeros
test/endomorphism_cust.cxx	tests/upstream_endomorphism_cust.rs	ported: longest-name monoid and cached-length transform, exact criterion; deterministic global-key fixture
test/endomorphism.cxx	tests/upstream_endomorphism.rs	ported: original indexed cube transform, n=5 and strict abs(error)<1e-6; deterministic global-key fixture
test/gemm_4D.cxx	tests/upstream_gemm4d.rs	ported NS/SY/AS/SH associativity at n=7, original per-entry abs<1e-6; PASS WSL 1/2/4 world/parity; native compile/link only
test/Makefile	Cargo/build tooling	replaced
test/multi_tsr_sym.cxx	tests/upstream_multi_tsr_sym.rs	ported NS/SY Gram equality, original norm<1e-6; WSL 1/2/4 pass
test/permute_multiworld.cxx	tests/upstream_permute_multiworld.rs; tests/symmetric_permuted_io.rs; tests/sparse_permuted_io.rs	partial: Rust NS driver PASS WSL1/2/4; mixed-storage source-semantic fixtures PASS; unmodified pinned C++ n3/rank1 passed NS then FAILED SY copy assertion (docs/upstream-known-failures.md), AS/SH not reached
test/readall_test.cxx	tests/upstream_readall.rs	ported bounded 2x3x2x3: source seed-zero drand48, root-only child transfer, explicit all-data read; abs<=1e-10 PASS WSL1/2/4 world/parity
test/readwrite_test.cxx	tests/upstream_readwrite.rs	ported bounded n3: NS/SY/SH and source-literal AS=SH diagonal writes, distributed reductions and NS/SY self contractions; abs<=1e-10 PASS WSL1/2/4 world/parity
test/reduce_bcast.cxx	tests/upstream_dense.rs; tests/upstream_reduce_bcast.rs	both identities through dense and compressed tensor APIs; original norm<=1e-6, WSL 1/2/4 pass
test/repack.cxx	tests/distributed_symmetric_repack.rs	canonical-only source repack semantics ported; exact SY/AS/SH and partial-group WSL checks at 1/2/4 ranks; original random driver pending
test/scalar.cxx	tests/upstream_scalar.rs	ported active cases at bounded n=3: scalar assignment, zero-edge SY metadata, diagonal preservation and full zero contraction; original inequalities; PASS WSL 1/2/4 world/parity; native compile/link only; disabled AS block excluded
test/speye.cxx	tests/upstream_speye.rs	ported active order=3 case at n=4: sparse indexed scalar broadcast A[iii]=1 and full/repeated-index reductions; original abs<1e-9; PASS WSL 1/2/4 world/parity; native compile/link only; disabled SY block excluded
test/sptensor_sum.cxx	tests/upstream_sptensor_sum.rs	ported bounded n2: exact source sparse fixtures/union, overlap66, abs<=1e-9 PASS WSL1/2/4 world/parity
test/subworld_gemm.cxx	tests/upstream_subworld_gemm.rs	ported source defaults17x23x31 plus tiny2x3x1, divisions1/2/4, POSIX drand48 recurrence, distributed child GEMM accumulation identity; Frobenius<1e-9 PASS WSL1/2/4 world/parity
test/sy_times_ns.cxx	tests/upstream_sy_times_ns.rs	ported literal zero-input source and separately adapted nonzero fixture, original norm<1e-10; WSL 1/2/4 pass
test/test_suite.cxx	tests/upstream/test/test_suite.rs	ported dense subset: active dense criteria asserted individually at intended n*n dimensions; bounded read fixtures retained; sparse cases excluded for S1
test/univar_function.cxx	tests/upstream_univar_function.rs	ported: original .25*A+A^4 identity, n=5 and strict abs(error)<1e-6; deterministic global-key fixture
test/weigh_4D.cxx	tests/upstream_weigh4d.rs	ported active NS/SY/AS product/division at bounded n=3, source drand48 recurrence and signed-denominator criterion; packed custom-function MPI path; PASS WSL 1/2/4 world/parity, native compile/link
test/python/test_base.py	Rust semantic tests (no Python interface)	pending
test/python/test_dot.py	Rust semantic tests (no Python interface)	pending
test/python/test_einsum.py	Rust semantic tests (no Python interface)	pending
test/python/test_fancyindex.py	Rust semantic tests (no Python interface)	pending
test/python/test_la.py	tests/distributed_matrix.rs	partial f64 Cholesky/triangular solve reconstruction criteria PASS WSL 1/2/4; other types/algorithms pending
test/python/test_partition.py	Rust semantic tests (no Python interface)	pending
test/python/test_sparse.py	Rust semantic tests (no Python interface)	pending
test/python/test_ufunc.py	Rust semantic tests (no Python interface)	pending
examples/algebraic_multigrid.cxx	tests/upstream/examples/algebraic_multigrid.rs	pending
examples/ao_mo_transf.cxx	tests/upstream/examples/ao_mo_transf.rs	ported: pinned n=6,m=9 double, float and nonsymmetric AO-MO paths; source has no numerical gate
examples/apsp.cxx	tests/upstream/examples/apsp.rs	pending
examples/bitonic_sort.cxx	tests/upstream/examples/bitonic_sort.rs	ported: logn=4 min-semiring contraction network with exact nondecreasing result
examples/block_sparse.cxx	tests/upstream/examples/block_sparse.rs	pending
examples/btwn_central_kernels.cxx	tests/upstream/examples/btwn_central_kernels.rs	pending
examples/btwn_central.cxx	tests/upstream/examples/btwn_central.rs	pending
examples/btwn_central.h	tests/upstream/examples/btwn_central.h	pending
examples/ccsd.cxx	tests/upstream/examples/ccsd.rs	ported: pinned no=4,nv=6 full active CCSD iteration and normalization; source has no numerical gate
examples/checkpoint_sparse.cxx	tests/upstream/examples/checkpoint_sparse.rs	pending
examples/checkpoint.cxx	tests/upstream/examples/checkpoint.rs	ported: n=7 two-offset dense MPI-IO round trip; both norms <=1e-9*n
examples/dft_3D.cxx	tests/upstream/examples/dft_3D.rs	ported: n=6 distributed three-dimensional DFT with per-element real error below 1e-9
examples/fft_with_idx_partition.cxx	tests/upstream/examples/fft_with_idx_partition.rs	ported: n=6, logm=8 indexed-partition FFT with source n*n*m*1e-6 bound
examples/fft.cxx	tests/upstream/examples/fft.rs	ported: n=16 forward/inverse real and imaginary residuals at 1e-6
examples/force_integration_sparse.cxx	tests/upstream/examples/force_integration_sparse.rs	pending
examples/force_integration.cxx	tests/upstream/examples/force_integration.rs; tests/upstream/examples/moldynamics.rs	ported: n=5 AS force update, inverse restore and original 1e-6 checks
examples/hosvd.cxx	tests/upstream_hosvd.rs	ported: source sequential four-mode SVD/scaling/reconstruction and original residual bound; all four scalar types, dense/sparse, bounded n=2 R=1/2; WSL 1/2/4 world/parity passed; native compile/link only
examples/jacobi.cxx	tests/upstream_jacobi.rs	ported: dense/sparse Jacobi iterations, residual stopping <1e-4 and final solution difference norm <=1e-6; bounded N=3 and explicit MT stream; WSL 1/2/4 world/parity passed; native compile/link only
examples/Makefile	Cargo/build tooling	replaced
examples/matmul.cxx	tests/upstream/examples/matmul.rs	ported: source-default m=17,n=32,k=9,sp=0.2 sparse operands checked against dense reference at 1e-6
examples/mis.cxx	tests/upstream/examples/mis.rs	pending
examples/mis2.cxx	tests/upstream/examples/mis2.rs	pending
examples/moldynamics.h	tests/upstream/examples/moldynamics.rs	ported: native Particle/Force wire types, additive force algebra, integration and pair-force formula
examples/mttkrp.cxx	tests/upstream/examples/mttkrp.rs	ported: n=7,R=7,sp=0.8 four-type sparse TTTP reference with norm/size <1e-5
examples/neural_network.cxx	tests/upstream/examples/neural_network.rs	ported: pinned n=16,m=9,d=4,sp=0.2 rotation/convolution chain and nonzero-output gate
examples/particle_interaction.cxx	tests/upstream/examples/particle_interaction.rs; tests/upstream/examples/moldynamics.rs	ported: owner-broadcast pair-force contraction and source norm <1e-6
examples/qinformatics.cxx	tests/upstream/examples/qinformatics.rs	ported: d=2,L=15 folded/refolded and unfolded contraction chains; source has no numerical gate
examples/recursive_matmul.cxx	tests/upstream/examples/recursive_matmul.rs	ported: source-default 256x128x512 recursive slice/subworld GEMM, norm <1e-9
examples/scan.cxx	tests/upstream_scan.rs	ported recursive reduction/shift-contraction/broadcast-add and local vector-tensor transfers, AS->SH->NS canonical repacks; bounded logn=3 with explicit f64 MT seed adaptation, source abs(error)<1e-9*N; PASS WSL 1/2/4 world/parity, native compile/link
examples/sparse_mp3.cxx	tests/upstream_sparse_mp3.rs; tests/upstream_sparse_mp3_t.rs	partial: dense-T and sparse-T equation/function chains with original relative-energy tolerance; rank-seeded random fixture and benchmark driver pending
examples/sparse_permuted_slice.cxx	pending: source-semantic packed permutation APIs exist	unaccepted: static full-orbit/canonical-duplicate analysis conflicts with compressed callback-copy assertion (SY/AS/SH off-diagonal 2x); no driver execution or tolerance change; see docs/upstream-known-failures.md
examples/spectral_element.cxx	tests/upstream_spectral_element.rs	ported: source D/u/G contraction sequence and norm2>=1e-6 criterion; bounded N=3 and explicit MT stream adaptation; WSL 1/2/4 world/parity passed; native compile/link only
examples/spmv.cxx	tests/upstream_spmv.rs	ported active sparse-A/dense-vector equations with dense and sparse output, both operand orders; bounded n=5 and source sparsity 0.5/n, explicit MT seed adaptation; original initial norm>=1e-6 and residual<=1e-6; PASS WSL 1/2/4 world/parity, native compile/link
examples/sssp.cxx	tests/upstream_sssp.rs	ported active n=7 tropical Bellman-Ford, source sparsification, ordinary integer-SUM convergence and injected negative-cycle assertions; explicit MT integer RNG adaptation; exact PASS WSL1/2/4 world/parity, native compile/link
examples/strassen.cxx	tests/upstream_strassen.rs	ported one-level seven-product parent and seven-subworld paths, NS/AS/SY/SH transpose/sign equations, strict squared-error/n^2<1e-10; bounded n8 and MT adaptation, explicit quadrant subworld transfers; PASS WSL1/2/4/7 world/parity, native compile/link
examples/trace.cxx	tests/upstream_trace.rs	ported four cyclic NS ABCD products, diagonal extraction and sum; bounded n=3, source drand48 recurrence and relative<=1e-10 criteria; PASS WSL 1/2/4 world/parity, native compile/link
scalapack_tests/conj.h	tests/upstream/scalapack_tests/conj.h	pending
scalapack_tests/eigh.cxx	tests/distributed_eigh.rs; tests/typed_distributed_eigh.rs	partial: four-type symmetric/Hermitian reconstruction and orthogonality at original n*n*1e-6 bounds PASS WSL 1/2/4; degenerate spectra and square subworld covered; full upstream driver pending
scalapack_tests/Makefile	Cargo/build tooling	replaced
scalapack_tests/qr.cxx	tests/distributed_qr_svd.rs; tests/typed_distributed_qr.rs	partial: four-type thin QR source residual/orthogonality criteria PASS WSL 1/2/4; full upstream driver pending
scalapack_tests/svd.cxx	tests/distributed_qr_svd.rs; tests/typed_distributed_svd.rs; tests/typed_svd_truncation.rs; tests/typed_randomized_svd.rs	partial: four-type thin SVD source residual/orthogonality criteria and truncation/randomized paths PASS WSL 1/2/4; full upstream driver pending
bench/bench_contraction.cxx	tests/upstream/bench/bench_contraction.rs	ported informational driver: n=4, three contractions, one four-rank timing
bench/bench_nosym_transp.cxx	tests/upstream/bench/bench_nosym_transp.rs	pending
bench/bench_redistribution.cxx	tests/upstream/bench/bench_redistribution.rs	pending
bench/Makefile	Cargo/build tooling	replaced
bench/model_trainer_kernels.cxx	tests/upstream/bench/model_trainer.rs	ported dense kernel subset: TTM and dense vector/matrix function/transform chain; sparse/offload kernels excluded from D6
bench/model_trainer.cxx	tests/upstream/bench/model_trainer.rs	ported existing dense subset: original hierarchical communicator/timing progression, explicit model write/load and print; sparse/offload/CCSD workloads outside this subset
bench/python/bench_smttkrp.py	Rust semantic tests (no Python interface)	pending
bench/python/bench_solve.py	Rust semantic tests (no Python interface)	pending
bench/python/bench_sttm.py	Rust semantic tests (no Python interface)	pending
bench/python/bench_stttp.py	Rust semantic tests (no Python interface)	pending
bench/python/sbench_args.py	Rust semantic tests (no Python interface)	pending
studies/fast_3mm.cxx	tests/upstream/studies/fast_3mm.rs	ported n=5 SY/AS decomposition with packed SY coincidence normalization, original norm<=1e-10; PASS WSL 1/2/4 world/parity; native compile/link only
studies/fast_as_as_sy_tensor_ctr.cxx	tests/upstream/studies/fast_as_as_sy_tensor_ctr.rs	ported n=4,s=t=v=1 AS/AS/SY study with chi/sign and V/W corrections, internal<=1e-6 and final<=1e-3; PASS WSL 1/2/4 world/parity; native compile/link only
studies/fast_diagram.cxx	tests/upstream/studies/fast_diagram.rs	ported n=5 AS/SH/diagonal decomposition with packed orbit normalization, original norm<=1e-10; PASS WSL 1/2/4 world/parity; native compile/link only
studies/fast_sy_as_as_tensor_ctr.cxx	tests/upstream/studies/fast_sy_as_as_tensor_ctr.rs	ported n=4,s=t=v=1 SY/AS/AS study with chi/sign and V/W corrections, internal<=1e-6 and final<=1e-3; PASS WSL 1/2/4 world/parity; native compile/link only
studies/fast_sym_4D.cxx	tests/upstream/studies/fast_sym_4D.rs	ported n=6 fast symmetric 4D identity, original norm<=1e-10; PASS WSL 1/2/4 world/parity; native compile/link only
studies/fast_sym.cxx	tests/upstream/studies/fast_sym.rs	ported n=13 fast symmetric matrix identity, original norm<=1e-10; PASS WSL 1/2/4 world/parity; native compile/link only
studies/fast_tensor_ctr.cxx	tests/upstream/studies/fast_tensor_ctr.rs	ported n=4,s=t=v=1 tensor study with C/Z symmetry reporting and final<=1e-3; PASS WSL 1/2/4 world/parity; native compile/link only
studies/Makefile	Cargo/build tooling	replaced
